nohup: 忽略输入
Detected Discrete Task: TFBind8-Exact-v0. Applying One-Hot + Dequantization.
Data Loaded: Input Dim=32 | Total 32898 | Gold 3289
Computing Global Fixed Optimal Transport Pairs...
Fixed Pairs Computed. Mapping 32898 low samples -> 3289 gold samples.

Training RankProxy with ListNet Loss (RaM Strategy)...
RaM-ListNet Epoch 20/5000 | Loss: 6.1816 | Pred Std: 0.6373
RaM-ListNet Epoch 40/5000 | Loss: 6.1755 | Pred Std: 0.5980
RaM-ListNet Epoch 60/5000 | Loss: 6.1944 | Pred Std: 0.5684
RaM-ListNet Epoch 80/5000 | Loss: 6.0300 | Pred Std: 0.5934
RaM-ListNet Epoch 100/5000 | Loss: 5.9339 | Pred Std: 0.6875
RaM-ListNet Epoch 120/5000 | Loss: 5.9024 | Pred Std: 0.7563
RaM-ListNet Epoch 140/5000 | Loss: 6.0598 | Pred Std: 0.7545
RaM-ListNet Epoch 160/5000 | Loss: 6.0349 | Pred Std: 0.6345
RaM-ListNet Epoch 180/5000 | Loss: 5.8782 | Pred Std: 0.7337
RaM-ListNet Epoch 200/5000 | Loss: 6.1177 | Pred Std: 0.7485
RaM-ListNet Epoch 220/5000 | Loss: 5.8930 | Pred Std: 0.7698
RaM-ListNet Epoch 240/5000 | Loss: 5.9338 | Pred Std: 0.7393
RaM-ListNet Epoch 260/5000 | Loss: 5.8904 | Pred Std: 0.7883
RaM-ListNet Epoch 280/5000 | Loss: 6.0421 | Pred Std: 0.7353
RaM-ListNet Epoch 300/5000 | Loss: 5.9043 | Pred Std: 0.8160
RaM-ListNet Epoch 320/5000 | Loss: 6.1264 | Pred Std: 0.8362
RaM-ListNet Epoch 340/5000 | Loss: 5.8371 | Pred Std: 0.7681
RaM-ListNet Epoch 360/5000 | Loss: 5.8989 | Pred Std: 0.7685
RaM-ListNet Epoch 380/5000 | Loss: 5.9955 | Pred Std: 0.8620
RaM-ListNet Epoch 400/5000 | Loss: 6.0759 | Pred Std: 0.8125
RaM-ListNet Epoch 420/5000 | Loss: 6.1026 | Pred Std: 0.7791
RaM-ListNet Epoch 440/5000 | Loss: 6.0795 | Pred Std: 0.8287
RaM-ListNet Epoch 460/5000 | Loss: 5.9603 | Pred Std: 0.8182
RaM-ListNet Epoch 480/5000 | Loss: 6.0390 | Pred Std: 0.8011
RaM-ListNet Epoch 500/5000 | Loss: 5.9581 | Pred Std: 0.7830
RaM-ListNet Epoch 520/5000 | Loss: 5.9439 | Pred Std: 0.7895
