nohup: 忽略输入
Detected Discrete Task: TFBind8-Exact-v0. Applying One-Hot + Dequantization.
Data Loaded: Input Dim=32 | Total 32898 | Gold 3289

Training RankProxy with ListNet Loss (RaM Strategy)...
RaM-ListNet Epoch 20/2000 | Loss: 6.1816 | Pred Std: 0.6373
RaM-ListNet Epoch 40/2000 | Loss: 6.1755 | Pred Std: 0.5980
RaM-ListNet Epoch 60/2000 | Loss: 6.1944 | Pred Std: 0.5684
RaM-ListNet Epoch 80/2000 | Loss: 6.0300 | Pred Std: 0.5934
RaM-ListNet Epoch 100/2000 | Loss: 5.9339 | Pred Std: 0.6875
RaM-ListNet Epoch 120/2000 | Loss: 5.9024 | Pred Std: 0.7563
RaM-ListNet Epoch 140/2000 | Loss: 6.0598 | Pred Std: 0.7545
RaM-ListNet Epoch 160/2000 | Loss: 6.0349 | Pred Std: 0.6345
RaM-ListNet Epoch 180/2000 | Loss: 5.8782 | Pred Std: 0.7337
RaM-ListNet Epoch 200/2000 | Loss: 6.1177 | Pred Std: 0.7485
RaM-ListNet Epoch 220/2000 | Loss: 5.8930 | Pred Std: 0.7698
RaM-ListNet Epoch 240/2000 | Loss: 5.9338 | Pred Std: 0.7393
RaM-ListNet Epoch 260/2000 | Loss: 5.8904 | Pred Std: 0.7883
RaM-ListNet Epoch 280/2000 | Loss: 6.0421 | Pred Std: 0.7353
RaM-ListNet Epoch 300/2000 | Loss: 5.9043 | Pred Std: 0.8160
RaM-ListNet Epoch 320/2000 | Loss: 6.1264 | Pred Std: 0.8362
RaM-ListNet Epoch 340/2000 | Loss: 5.8371 | Pred Std: 0.7681
RaM-ListNet Epoch 360/2000 | Loss: 5.8989 | Pred Std: 0.7685
RaM-ListNet Epoch 380/2000 | Loss: 5.9955 | Pred Std: 0.8620
RaM-ListNet Epoch 400/2000 | Loss: 6.0759 | Pred Std: 0.8125
RaM-ListNet Epoch 420/2000 | Loss: 6.1026 | Pred Std: 0.7791
RaM-ListNet Epoch 440/2000 | Loss: 6.0795 | Pred Std: 0.8287
RaM-ListNet Epoch 460/2000 | Loss: 5.9603 | Pred Std: 0.8182
RaM-ListNet Epoch 480/2000 | Loss: 6.0390 | Pred Std: 0.8011
RaM-ListNet Epoch 500/2000 | Loss: 5.9581 | Pred Std: 0.7830
RaM-ListNet Epoch 520/2000 | Loss: 5.9439 | Pred Std: 0.7895
RaM-ListNet Epoch 540/2000 | Loss: 5.8832 | Pred Std: 0.8201
RaM-ListNet Epoch 560/2000 | Loss: 5.8852 | Pred Std: 0.8088
RaM-ListNet Epoch 580/2000 | Loss: 5.7051 | Pred Std: 0.8454
RaM-ListNet Epoch 600/2000 | Loss: 5.9163 | Pred Std: 0.8168
RaM-ListNet Epoch 620/2000 | Loss: 5.8661 | Pred Std: 0.8726
RaM-ListNet Epoch 640/2000 | Loss: 5.9566 | Pred Std: 0.8499
RaM-ListNet Epoch 660/2000 | Loss: 5.8462 | Pred Std: 0.9074
RaM-ListNet Epoch 680/2000 | Loss: 6.0222 | Pred Std: 0.8733
RaM-ListNet Epoch 700/2000 | Loss: 5.7288 | Pred Std: 0.7841
RaM-ListNet Epoch 720/2000 | Loss: 5.7857 | Pred Std: 0.8529
RaM-ListNet Epoch 740/2000 | Loss: 5.8355 | Pred Std: 0.8886
RaM-ListNet Epoch 760/2000 | Loss: 5.8916 | Pred Std: 0.9499
RaM-ListNet Epoch 780/2000 | Loss: 5.6904 | Pred Std: 0.8774
RaM-ListNet Epoch 800/2000 | Loss: 5.7807 | Pred Std: 0.9497
RaM-ListNet Epoch 820/2000 | Loss: 5.7672 | Pred Std: 0.8442
RaM-ListNet Epoch 840/2000 | Loss: 5.7509 | Pred Std: 0.8861
RaM-ListNet Epoch 860/2000 | Loss: 5.8764 | Pred Std: 0.9137
RaM-ListNet Epoch 880/2000 | Loss: 5.6093 | Pred Std: 0.9078
